2022-06-16 17:22:38 status unpacked libefivar1:amd64 34-1
2022-06-16 17:22:38 status half-configured libefivar1:amd64 34-1
2022-06-16 17:22:38 status installed libefivar1:amd64 34-1
2022-06-16 17:22:38 configure grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2 <none>
2022-06-16 17:22:38 status unpacked grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2022-06-16 17:22:38 status half-configured grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2022-06-16 17:22:38 status installed grub-efi-amd64-signed:amd64 1.167~18.04.5+2.04-1ubuntu44.1.2
2022-06-16 17:22:38 configure sbsigntool:amd64 0.9.2-2ubuntu1~18.04.2 <none>
2022-06-16 17:22:38 status unpacked sbsigntool:amd64 0.9.2-2ubuntu1~18.04.2
2022-06-16 17:22:38 status half-configured sbsigntool:amd64 0.9.2-2ubuntu1~18.04.2
2022-06-16 17:22:38 status installed sbsigntool:amd64 0.9.2-2ubuntu1~18.04.2
2022-06-16 17:22:38 configure libefiboot1:amd64 34-1 <none>
2022-06-16 17:22:38 status unpacked libefiboot1:amd64 34-1
2022-06-16 17:22:38 status half-configured libefiboot1:amd64 34-1
2022-06-16 17:22:38 status installed libefiboot1:amd64 34-1
2022-06-16 17:22:38 configure mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1 <none>
2022-06-16 17:22:38 status unpacked mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2022-06-16 17:22:38 status half-configured mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2022-06-16 17:22:38 status installed mokutil:amd64 0.3.0+1538710437.fb6250f-0ubuntu2~18.04.1
2022-06-16 17:22:38 configure secureboot-db:amd64 1.4~ubuntu0.18.04.1 <none>
2022-06-16 17:22:38 status unpacked secureboot-db:amd64 1.4~ubuntu0.18.04.1
2022-06-16 17:22:38 status half-configured secureboot-db:amd64 1.4~ubuntu0.18.04.1
2022-06-16 17:22:38 status installed secureboot-db:amd64 1.4~ubuntu0.18.04.1
2022-06-16 17:22:38 configure efibootmgr:amd64 15-1 <none>
2022-06-16 17:22:38 status unpacked efibootmgr:amd64 15-1
2022-06-16 17:22:38 status half-configured efibootmgr:amd64 15-1
2022-06-16 17:22:38 status installed efibootmgr:amd64 15-1
2022-06-16 17:22:38 configure shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9 <none>
2022-06-16 17:22:38 status unpacked shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2022-06-16 17:22:38 status half-configured shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2022-06-16 17:22:38 status installed shim-signed:amd64 1.37~18.04.11+15.4-0ubuntu9
2022-06-16 17:22:38 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-06-16 17:22:38 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-06-16 17:22:39 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-06-16 17:22:39 trigproc libc-bin:amd64 2.27-3ubuntu1.6 <none>
2022-06-16 17:22:39 status half-configured libc-bin:amd64 2.27-3ubuntu1.6
2022-06-16 17:22:39 status installed libc-bin:amd64 2.27-3ubuntu1.6
2022-06-16 17:24:24 startup packages remove
2022-06-16 17:24:24 status installed grub-legacy-ec2:all 1:1
2022-06-16 17:24:24 remove grub-legacy-ec2:all 1:1 <none>
2022-06-16 17:24:24 status half-configured grub-legacy-ec2:all 1:1
2022-06-16 17:24:24 status half-installed grub-legacy-ec2:all 1:1
2022-06-16 17:24:24 status config-files grub-legacy-ec2:all 1:1
2022-06-16 17:24:24 status config-files grub-legacy-ec2:all 1:1
2022-06-16 17:24:24 startup packages configure
2022-06-16 17:24:24 startup packages purge
2022-06-16 17:24:24 purge grub-legacy-ec2:all 1:1 <none>
2022-06-16 17:24:24 status config-files grub-legacy-ec2:all 1:1
2022-06-16 17:24:24 status config-files grub-legacy-ec2:all 1:1
2022-06-16 17:24:24 status config-files grub-legacy-ec2:all 1:1
2022-06-16 17:24:25 status config-files grub-legacy-ec2:all 1:1
2022-06-16 17:24:25 status config-files grub-legacy-ec2:all 1:1
